Gender,acc,acq,acs,acu,ape,apf,api
Female,484.8185,482.17012,433.25284,529.99688,464.56614,459.11358,521.42856
Male,452.64838,407.78158,413.07838,455.45254,437.38118,436.1349,428.81292
Male,564.34802,560.9207,497.98258,552.1966,533.03474,525.24538,556.55866
Male,408.95,348.34864,405.52268,343.36344,387.60712,373.74202,301.30084
Female,417.6741,403.18586,410.50786,426.39818,405.67846,314.38698,400.53748
Female,585.30144,534.04736,543.7062,562.86806,588.1056,531.0874,569.87848
Male,491.20578,434.34336,470.17448,463.78722,486.84374,457.24414,469.39554
Male,466.2019,432.55178,490.50476,455.76412,455.76416,489.7258,493.7763
Female,398.20068,380.90826,417.98568,418.7646,378.41564,384.64716,374.05362
Female,566.13958,544.17356,526.25798,501.79934,556.94812,522.3633,548.06822
Female,377.94828,331.67938,288.0589,329.80994,372.18412,380.75246,326.22682
Male,351.07494,342.03926,360.4222,356.68326,352.32122,323.65632,367.12106
Male,404.43216,412.06572,393.37124,384.64714,381.99876,372.8073,398.66802
Female,548.7693,537.24102,514.6518,519.16964,535.05998,528.67268,532.5674
Female,687.42014,724.186,665.92148,729.95014,685.55074,691.15908,671.8414
Female,448.52004,499.7741,491.20582,484.9743,496.81412,500.70882,496.96994
Male,491.67316,485.13008,478.7428,508.4982,488.5574,452.10312,496.96996
Male,560.9986,533.42422,529.99688,566.45116,554.45552,548.37982,521.117
Female,536.15048,499.07304,466.82504,488.4795,457.47778,438.78332,490.9721
Female,452.72628,444.15796,470.17448,399.60274,454.43994,432.78548,428.42344
Female,469.00608,453.58312,476.63968,536.92942,453.5831,481.46908,478.6649
Female,447.97474,387.99658,379.73984,440.49698,371.48312,438.62752,434.88862
Male,609.91586,622.0673,617.86102,635.93238,639.04814,660.54682,657.74264
Female,417.12882,380.51876,466.66924,418.06356,424.91822,416.81726,385.34818
Female,512.62658,525.40118,515.43074,539.73358,490.97212,530.23058,554.37762
Female,575.40894,559.20704,566.0617,611.39586,551.88504,566.68484,627.75354
Female,419.38776,399.60276,491.67316,475.9386,423.43824,470.79764,423.28244
Female,607.89064,538.72098,622.84624,604.15174,573.15002,561.62172,621.59996
Female,525.71274,491.43948,514.496,552.66398,493.46474,491.75106,551.26188
Male,665.45412,613.88846,629.77878,604.85278,594.25922,640.99546,621.9894
Female,440.0296,413.85728,416.03832,447.5074,411.67628,428.96868,443.76848
